,file,coords,breeding_habitat_count,area
12,dengue-cases-central,"[[103.851950934799, 1.36367809608687, 0.0], [103.851950948706, 1.36548682464457, 0.0], [103.853748086095, 1.36548680996311, 0.0], [103.853748070846, 1.36367808142485, 0.0], [103.851950934799, 1.36367809608687, 0.0]]",1,40269.269397617114
13,dengue-cases-central,"[[103.851950976574, 1.369104281678, 0.0], [103.851950990536, 1.37091301015364, 0.0], [103.853748131963, 1.37091299541381, 0.0], [103.853748116654, 1.36910426695762, 0.0], [103.851950976574, 1.369104281678, 0.0]]",1,40269.266969524615
14,dengue-cases-central,"[[103.83577671891, 1.37272181027588, 0.0], [103.835776720747, 1.37453053879111, 0.0], [103.837573864977, 1.3745305362604, 0.0], [103.837573861789, 1.3727218077485, 0.0], [103.83577671891, 1.37272181027588, 0.0]]",1,40269.269904201865
15,dengue-cases-central,"[[103.84296494721, 1.28409406301152, 0.0], [103.842964953984, 1.28590279280584, 0.0], [103.844762034068, 1.28590278534591, 0.0], [103.844762026029, 1.28409405556208, 0.0], [103.84296494721, 1.28409406301152, 0.0]]",1,40269.307347496746
16,dengue-cases-central,"[[103.844762255393, 1.33473847966588, 0.0], [103.844762263749, 1.33654720871567, 0.0], [103.846559379937, 1.33654719963856, 0.0], [103.846559370268, 1.33473847060106, 0.0], [103.844762255393, 1.33473847966588, 0.0]]",1,40269.285064176445
17,dengue-cases-central,"[[103.835776715243, 1.36910435316307, 0.0], [103.835776717075, 1.37091308173319, 0.0], [103.837573858605, 1.37091307920914, 0.0], [103.837573855424, 1.36910435064236, 0.0], [103.835776715243, 1.36910435316307, 0.0]]",1,40269.27153359911
18,dengue-cases-central,"[[103.878908487944, 1.39080865267362, 0.0], [103.878908522664, 1.39261738033783, 0.0], [103.880705679912, 1.39261734468246, 0.0], [103.880705643823, 1.39080861706458, 0.0], [103.878908487944, 1.39080865267362, 0.0]]",1,40269.23516379982
19,dengue-cases-central,"[[103.853748055618, 1.36186935285932, 0.0], [103.853748070846, 1.36367808142485, 0.0], [103.855545206873, 1.3636780654127, 0.0], [103.855545190304, 1.36186933686841, 0.0], [103.853748055618, 1.36186935285932, 0.0]]",1,40269.26930662408
20,dengue-cases-north-east,"[[103.889690785167, 1.36367750465464, 0.0], [103.889690827264, 1.36548623242761, 0.0], [103.891487963854, 1.36548618935554, 0.0], [103.891487920415, 1.36367746163964, 0.0], [103.889690785167, 1.36367750465464, 0.0]]",1,40269.23363436574
21,dengue-cases-north-east,"[[103.882502280361, 1.36548639119658, 0.0], [103.882502317137, 1.36729511915261, 0.0], [103.884299455284, 1.36729508143836, 0.0], [103.884299417165, 1.36548635353223, 0.0], [103.882502280361, 1.36548639119658, 0.0]]",1,40269.24235740944
22,dengue-cases-north-east,"[[103.884299417165, 1.36548635353223, 0.0], [103.884299455284, 1.36729508143836, 0.0], [103.886096593381, 1.36729504237038, 0.0], [103.886096553917, 1.36548631451596, 0.0], [103.884299417165, 1.36548635353223, 0.0]]",11,40269.24008493074
